O*NET-SOC Code,알기,짜기,꺼내기,다루기,돌보기,이끌기,Title
17-3027.01,3.6233333333333335,2.9233333333333333,3.355,3.5933333333333333,2.5740000000000003,2.6192307692307697,Automotive Engineering Technicians
17-3028.00,3.4819999999999998,2.9333333333333336,3.15,3.253333333333334,2.57,2.4376923076923074,Calibration Technologists and Technicians
17-3029.01,3.8219999999999996,3.3383333333333334,3.475,3.298333333333334,3.35,3.20076923076923,Non-Destructive Testing Specialists
17-3029.08,3.4026666666666663,3.0,2.91,3.233333333333334,2.436,2.512307692307692,Photonics Technicians
17-3031.00,3.5573333333333332,3.0066666666666664,3.17,2.8533333333333335,2.9760000000000004,2.7199999999999998,Surveying and Mapping Technicians
19-1011.00,3.822666666666666,3.4866666666666664,3.0100000000000002,2.263333333333333,3.4219999999999997,3.380769230769231,Animal Scientists
19-1012.00,3.6293333333333333,3.3816666666666664,3.25,2.6599999999999997,3.07,3.172307692307692,Food Scientists and Technologists
19-1013.00,3.9033333333333338,3.5083333333333333,3.05,2.645,3.2960000000000003,3.183076923076923,Soil and Plant Scientists
19-1021.00,4.290666666666667,3.5333333333333328,3.925,2.7783333333333338,3.1599999999999997,3.3023076923076924,Biochemists and Biophysicists
19-1022.00,3.7980000000000005,3.4966666666666666,3.175,2.75,2.854,2.9669230769230763,Microbiologists
19-1023.00,3.778,3.5866666666666673,2.62,2.7083333333333335,3.306,3.1699999999999995,Zoologists and Wildlife Biologists
19-1029.01,3.943333333333333,2.685,3.1100000000000003,1.4683333333333335,2.418,2.0530769230769232,Bioinformatics Scientists
19-1029.02,3.8226666666666658,3.4200000000000004,3.175,2.2883333333333327,3.054,3.083846153846154,Molecular and Cellular Biologists
19-1029.03,3.8586666666666662,3.3800000000000003,2.88,1.9633333333333332,3.14,3.123076923076923,Geneticists
19-1029.04,4.0920000000000005,3.9066666666666667,3.3,2.8266666666666667,3.122,3.301538461538461,Biologists
19-1031.00,3.7486666666666664,3.4583333333333335,3.065,2.7649999999999992,3.344,3.1038461538461535,Conservation Scientists
19-1031.02,3.562,3.3966666666666665,2.635,2.7633333333333336,3.2079999999999997,2.9992307692307687,Range Managers
19-1031.03,3.3093333333333335,3.4783333333333335,2.875,2.5666666666666664,3.6660000000000004,3.1876923076923074,Park Naturalists
19-1032.00,3.493333333333333,3.5716666666666668,2.6950000000000003,2.7816666666666667,3.1199999999999997,3.1992307692307693,Foresters
19-1041.00,3.9186666666666667,3.4266666666666663,2.7150000000000003,1.2766666666666666,3.314,3.2638461538461545,Epidemiologists
19-1042.00,3.711333333333333,3.01,3.06,2.068333333333333,2.8019999999999996,2.6630769230769222,"Medical Scientists, Except Epidemiologists"
19-2011.00,3.979999999999999,2.9716666666666662,3.085,1.8616666666666666,2.832,2.7038461538461536,Astronomers
19-2012.00,4.076,3.346666666666667,3.5250000000000004,2.0733333333333333,2.97,3.0715384615384616,Physicists
19-2021.00,3.82,3.0050000000000003,2.815,1.6133333333333333,2.9,2.7930769230769235,Atmospheric and Space Scientists
19-2031.00,3.634,3.278333333333333,2.945,2.7399999999999998,2.714,2.971538461538462,Chemists
19-2032.00,3.750666666666667,3.016666666666667,3.335,2.105,2.772,2.917692307692308,Materials Scientists
19-2041.00,3.6993333333333336,3.0549999999999997,2.5549999999999997,1.9716666666666667,2.9219999999999997,2.716153846153846,"Environmental Scientists and Specialists, Including Health"
19-2041.01,3.6753333333333327,3.265,2.455,1.3066666666666666,2.694,2.971538461538461,Climate Change Policy Analysts
19-2041.02,3.7766666666666664,3.8666666666666667,3.1550000000000002,2.1666666666666665,3.1719999999999997,3.353846153846154,Environmental Restoration Planners
19-2041.03,3.8419999999999996,2.938333333333334,2.87,1.4566666666666663,2.714,2.7361538461538464,Industrial Ecologists
